	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2000)	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	0.0	4	5	11	0.0	7	2	0.0	2	0.0	9	21	12	3	1	6	5	7	14	2	0.0	2	5	3	1	0.0	7	5	2	0.0	1	0.0	1	0.0	0.0	1	0.0	1	3
	Total # checklists submitted - (2001)	1	9	4	2	0.0	0.0	1	7	9	3	13	14	18	46	143	260	246	361	280	332	207	141	58	224	48	22	57	20	0.0	3	2	14	10	8	7	3	0.0	7	2	2	1	1	2	1	2	1	2	7
	Total # checklists submitted - (2002)	5	2	3	6	15	4	4	7	6	11	9	13	7	13	102	126	170	128	131	261	173	109	22	26	4	4	1	3	3	6	10	13	9	9	15	12	2	9	11	17	3	3	1	6	8	1	4	14
	Total # checklists submitted - (2003)	14	3	13	14	8	14	6	5	7	4	4	17	12	15	7	23	17	25	17	33	12	6	9	17	9	12	6	23	18	12	3	12	13	7	14	25	17	8	17	12	10	6	8	22	14	15	7	4
	Total # checklists submitted - (2004)	11	9	10	16	17	6	24	20	33	26	43	74	76	45	47	80	143	135	168	97	26	62	34	47	60	30	39	46	28	25	26	35	28	61	49	40	26	32	29	49	26	27	35	36	18	32	38	45
	Totals
	2000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	2	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0	0.0	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12	34	4	4	10	5	0	2	5	1	0	0	0.0	8	6	4	10	3	0.0	0.0	0.0	10	350	60	44	20	0.0	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2002	0.0	0.0	0.0	0.0	69	0.0	0.0	0.0	0.0	0.0	1	0.0	2	0.0	1	0.0	0	5	6	0	0	3	1	4	1	0.0	0.0	0.0	0.0	7	120	20	0.0	65	0.0	3	2	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2003	0.0	0.0	0.0	5	0.0	4	0.0	0.0	0.0	0.0	3	0.0	2	14	0.0	1	0	0.0	2	0	0.0	0.0	0.0	6	0.0	10	3	20	0.0	0.0	0.0	0.0	2	0	4	2	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2004	0.0	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50	10	12	12	1	14	6	19	8	24	15	13	2	12	5	1	39	119	0.0	5	0.0	18	22	44	57	88	4	0.0	8	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
