	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2010)	22	16	11	39	36	18	15	14	30	25	24	30	33	36	37	67	41	52	46	63	22	27	20	42	30	28	12	23	15	6	11	19	13	16	17	33	28	30	19	46	19	14	21	19	17	19	13	20
	Total # checklists submitted - (2011)	23	16	17	29	19	11	18	13	18	24	27	75	47	32	44	61	73	42	50	37	14	7	22	18	23	16	10	43	14	12	7	19	16	9	23	24	23	22	20	29	26	26	13	17	18	10	32	16
	Total # checklists submitted - (2012)	23	25	25	61	53	24	23	30	22	17	30	44	55	48	113	115	57	48	54	73	22	37	37	44	33	14	9	10	14	24	23	25	12	10	19	45	37	30	25	22	11	9	20	16	9	17	15	34
	Total # checklists submitted - (2013)	25	18	64	52	36	20	21	22	24	34	17	51	42	25	48	48	75	69	80	41	32	26	25	52	42	40	10	21	13	14	15	33	32	38	54	52	34	45	34	55	31	14	18	33	47	28	19	29
	Total # checklists submitted - (2014)	29	25	81	106	51	45	24	47	38	34	57	61	90	56	58	72	113	99	128	111	41	65	34	29	32	39	31	29	17	12	25	30	22	39	72	86	36	27	46	56	19	17	12	29	28	22	20	17
	Totals
	2010	0.0	0.0	0.0	0	0.0	1	0.0	3	11	98	41	113	329	103	208	351	53	176	162	111	3	9	6	5	4	7	0	3	50	4	3	1	47	216	704	437	513	2025	41	5	0.0	0.0	1	0	0.0	2	0.0	4
	2011	0.0	3	0.0	3	1	0.0	53	1	2	6	2505	296	64	65	71	156	224	73	193	232	10	4	10	3	3	11	7	24	3	1	1	10	23	30	100	75	307	11	32	3	0.0	6	8	1	0.0	3	0.0	0.0
	2012	0.0	1	1	6	2	0.0	0.0	1	2	28	31	179	140	132	221	180	8	31	38	8	10	3	11	97	3	23	3	16	1	9	17	9	6	3	781	630	109	2	0.0	6	0.0	4	1	4	0.0	0.0	0	1
	2013	1	0.0	19	2	6	2	2	0.0	4	17	322	292	40	93	37	51	37	108	43	1	9	1	70	7	28	60	0.0	17	0	6	18	20	3	18	133	334	144	33	4	4	0	0.0	2	3	0.0	0.0	0.0	0
	2014	2	0	8	5	1	2	0.0	2	5	3	15	41	66	37	31	13	171	16	41	21	9	11	1	16	2	7	3	1	15	7	4	8	15	399	26	805	19	20	0.0	0	0	6	5	1	0.0	0.0	4	1
