	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2005)	33	33	56	90	31	46	31	17	32	50	76	125	83	103	105	166	129	132	141	154	107	91	129	129	48	35	47	60	38	42	39	91	97	76	62	80	39	62	36	63	65	54	42	68	57	50	58	90
	Total # checklists submitted - (2006)	58	47	42	100	59	70	100	79	60	80	64	124	86	71	85	109	78	97	71	74	38	34	45	40	34	31	67	42	31	42	36	93	52	53	54	88	54	32	44	64	12	24	32	27	32	25	25	32
	Total # checklists submitted - (2007)	25	23	32	42	23	31	29	21	6	16	17	31	25	41	29	53	46	34	35	22	18	25	18	5	6	2	3	6	11	5	12	20	17	27	17	23	15	16	14	16	4	6	8	6	11	8	12	30
	Total # checklists submitted - (2008)	20	13	18	22	18	12	14	19	14	13	13	26	11	10	21	37	37	27	30	35	21	11	31	7	42	49	24	14	18	20	2	12	12	29	22	15	27	21	5	11	13	13	6	17	8	34	19	22
	Total # checklists submitted - (2009)	13	7	12	20	21	9	6	18	8	21	40	48	32	32	59	92	79	50	52	54	23	12	12	17	27	25	22	40	30	19	37	50	21	57	30	69	47	19	13	36	21	13	13	25	4	5	23	14
	Totals
	2005	1	12	1	0.0	0.0	1	0.0	0.0	0.0	0.0	11	19	35	37	16	70	111	20	62	132	132	137	6	7	102	17	19	17	10	30	35	62	67	67	1423	2980	279	29	1	10	4	32	10	5	3	0.0	2	0.0
	2006	0.0	7	0.0	2	2	0.0	1	0.0	0.0	87	10	9	25	43	30	43	39	15	2	54	20	2	6	3	1	23	24	4	15	21	9	28	83	62	9	707	278	81	2	59	8	0.0	9	0.0	6	0	4	0.0
	2007	0.0	0.0	0.0	1	0.0	1	1	0.0	0.0	3	4	164	46	4	4	66	265	43	25	3	4	15	3	27	1	3	4	32	8	8	17	59	80	8	144	264	531	67	65	7	6	0.0	1	0.0	0.0	6	0.0	5
	2008	40	0.0	6	1	0.0	4	0.0	0.0	0.0	389	13	26	338	3	9	368	18	11	5	18	8	6	32	4	0.0	0.0	8	10	22	35	40	122	97	618	2258	1903	232	183	6	0.0	0.0	0.0	1	0.0	0.0	5	1	3
	2009	0.0	2	0.0	0.0	0.0	0.0	14	0.0	0.0	95	71	407	14	5	18	36	25	28	18	13	22	5	10	3	8	9	5	1	3	16	11	39	19	428	88	443	301	85	11	1	22	1	0.0	0.0	0.0	0	2	0.0
