	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2005)	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	5	5	4	6	3	0.0	2	8	4	0.0	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	2	0.0	0.0	0.0
	Total # checklists submitted - (2006)	0.0	0.0	0.0	0.0	16	0.0	0.0	0.0	0.0	0.0	0.0	7	4	15	0.0	1	1	2	3	1	0.0	0.0	0.0	3	0.0	3	0.0	0.0	0.0	1	2	6	0.0	0.0	6	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	4	1	7	45
	Total # checklists submitted - (2007)	0.0	13	0.0	0.0	4	1	0.0	0.0	2	2	8	1	2	1	2	24	4	6	21	2	2	0.0	0.0	1	1	3	1	0.0	0.0	0.0	0.0	7	1	0.0	13	0.0	4	2	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0	0.0
	Total # checklists submitted - (2008)	0.0	0.0	0.0	0.0	22	11	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	10	11	8	6	20	24	39	5	0.0	0.0	0.0	0.0	1	0.0	5	0.0	0.0	0.0	0.0	12	0.0	2	1	0.0	2	5	0.0	1	2	0.0	0.0	0.0	1	7
	Total # checklists submitted - (2009)	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	6	18	7	1	9	2	3	4	17	11	12	34	9	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	12	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	3	0.0	0.0	5	12	1
	Totals
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	1	0.0	0.0	0.0	1	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	1	2	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0	1	0.0	0.0	30	319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	0.0	1	0.0	0.0	7	3	15	26	0.0	1	2	0.0	0.0	0.0	2	7	0.0	0.0	0.0	0.0	1	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10	1	2	5	16	25	0.0	0.0	0.0	0.0	0.0	0	0.0	1	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9	2	0.0	2	4	0.0	4	7	1	7	16	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
