	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2005)	33	33	56	90	31	46	31	17	32	50	76	125	83	103	105	166	129	132	141	154	107	91	129	129	48	35	47	60	38	42	39	91	97	76	62	80	39	62	36	63	65	54	42	68	57	50	58	90
	Total # checklists submitted - (2006)	58	47	42	100	59	70	100	79	60	80	64	124	86	71	85	109	78	97	71	74	38	34	45	40	34	31	67	42	31	42	36	93	52	53	54	88	54	32	44	64	12	24	32	27	32	25	25	32
	Total # checklists submitted - (2007)	25	23	32	42	23	31	29	21	6	16	17	31	25	41	29	53	46	34	35	22	18	25	18	5	6	2	3	6	11	5	12	20	17	27	17	23	15	16	14	16	4	6	8	6	11	8	12	30
	Total # checklists submitted - (2008)	20	13	18	22	18	12	14	19	14	13	13	26	11	10	21	37	37	27	30	35	21	11	31	7	42	49	24	14	18	20	2	12	12	29	22	15	27	21	5	11	13	13	6	17	8	34	19	22
	Total # checklists submitted - (2009)	13	7	12	20	21	9	6	18	8	21	40	48	32	32	59	92	79	50	52	54	23	12	12	17	27	25	22	40	30	19	37	50	21	57	30	69	47	19	13	36	21	13	13	25	4	5	23	14
	Totals
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	44	52	21	34	53	64	28	14	8	17	17	16	2	5	6	3	18	12	109	5	28	22	9	2	0.0	21	1	1	11	1	26	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	10	21	49	53	61	16	13	6	11	8	19	0.0	2	10	6	0.0	29	30	41	10	7	89	63	60	136	53	11	7	1	24	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0
	2007	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	2	0.0	1	80	62	55	12	50	13	1	8	8	6	5	25	5	10	22	0.0	6	10	7	10	71	8	8	10	28	0.0	0.0	56	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0	0.0	0.0	0.0	1	0.0	0.0	0.0	13	14	25	51	20	27	18	11	75	22	44	7	0	0	8	18	3	9	9	9	176	20	11	1	7	6	32	15	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7
	2009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15	15	30	35	11	37	56	35	18	41	39	19	0	0.0	42	2	6	6	6	7	7	39	19	6	7	2	7	1	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
