	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2010)	22	16	11	39	36	18	15	14	30	25	24	30	33	36	37	67	41	52	46	63	22	27	20	42	30	28	12	23	15	6	11	19	13	16	17	33	28	30	19	46	19	14	21	19	17	19	13	20
	Total # checklists submitted - (2011)	23	16	17	29	19	11	18	13	18	24	27	75	47	32	44	61	73	42	50	37	14	7	22	18	23	16	10	43	14	12	7	19	16	9	23	24	23	22	20	29	26	26	13	17	18	10	32	16
	Total # checklists submitted - (2012)	23	25	25	61	53	24	23	30	22	17	30	44	55	48	113	115	57	48	54	73	22	37	37	44	33	14	9	10	14	24	23	25	12	10	19	45	37	30	25	22	11	9	20	16	9	17	15	34
	Total # checklists submitted - (2013)	25	18	64	52	36	20	21	22	24	34	17	51	42	25	48	48	75	69	80	41	32	26	25	52	42	40	10	21	13	14	15	33	32	38	54	52	34	45	34	55	31	14	18	33	47	28	19	29
	Total # checklists submitted - (2014)	29	25	81	106	51	45	24	47	38	34	57	61	90	56	58	72	113	99	128	111	41	65	34	29	32	39	31	29	17	12	25	30	22	39	72	86	36	27	46	56	19	17	12	29	28	22	20	17
	Totals
	2010	11	22	1	76	42	13	21	25	5	26	12	85	22	184	183	171	65	28	49	16	13	10	2	5	21	294	60	15	35	23	8	76	55	50	65	107	27	1	178	48	60	7	169	41	10	41	24	55
	2011	37	123	14	77	73	58	62	22	12	38	5	41	50	158	205	154	104	106	125	58	8	2	118	3	5	213	41	143	55	5	176	5	130	21	288	413	313	23	3	15	9	211	105	8	16	55	5	60
	2012	13	0	4	235	194	24	9	14	165	31	5	114	247	378	302	1409	137	264	128	66	19	4	237	18	4	66	22	16	38	18	111	116	35	20	12	156	427	32	12	70	16	0	45	0	10	28	4	25
	2013	14	3	434	238	106	1	48	58	11	39	3	116	89	89	136	95	172	57	183	42	2	6	108	178	9	52	8	44	8	3	26	941	65	48	172	166	75	175	138	134	6	1	106	24	12	77	15	24
	2014	22	18	589	155	52	60	40	26	4	34	116	151	251	132	461	48	163	106	111	292	7	67	12	42	3	26	26	160	3	8	72	63	37	122	22	33	50	69	44	69	4	49	11	2	3	5	6	13
