	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2010)	0.0	0.0	16	0.0	4	5	1	0.0	0.0	1	1	3	5	11	14	35	49	11	2	5	17	35	0.0	1	10	3	2	0.0	0.0	1	1	8	6	1	0.0	2	0.0	0.0	2	23	0.0	1	0.0	0.0	0.0	2	0.0	4
	Total # checklists submitted - (2011)	1	1	2	0.0	6	5	3	0.0	5	5	4	7	6	9	8	10	20	10	7	6	4	3	0.0	1	0.0	1	7	0.0	3	8	11	13	1	0.0	0.0	27	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	1
	Total # checklists submitted - (2012)	0.0	0.0	15	4	3	2	5	3	1	0.0	1	2	3	2	2	1	5	4	22	0.0	0.0	0.0	0.0	3	1	1	0.0	2	0.0	2	4	0.0	12	6	2	4	4	2	2	3	2	0.0	0.0	0.0	0.0	0.0	0.0	2
	Total # checklists submitted - (2013)	1	18	0.0	0.0	10	70	4	0.0	0.0	1	0.0	3	6	0.0	7	7	17	8	7	40	0.0	5	5	5	6	14	7	13	6	9	4	6	7	6	3	1	4	6	11	11	9	14	0.0	10	1	2	1	2
	Total # checklists submitted - (2014)	4	3	15	1	7	5	6	4	2	3	6	11	9	16	21	23	3	3	15	30	12	16	3	6	2	2	1	8	12	8	2	17	11	5	15	5	3	0.0	0.0	3	2	1	1	2	3	0.0	0.0	0.0
	Totals
	2010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	3	19	0.0	0.0	0.0	0	2	0.0	0.0	0.0	4	0.0	0.0	0.0	0.0	0.0	5	0.0	0.0	0.0	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	14	0.0	2	1	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6	0.0	0.0	0.0	22	85	20	0.0	0.0	121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	5	0.0	3	0.0	8	1	0	0.0	0.0	3	0.0	2	0.0	0.0	0.0	22	0	60	0.0	0.0	50	90	0.0	0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	2	8	0.0	0.0	7	0.0	5	1	6	7	22	19	45	18	60	22	15	32	45	0.0	2	3	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	4	2	0	0.0	1	4	8	5	2	4	1	2	0.0	0.0	30	2	60	0.0	100	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
